Time,Condition,Row,Column,Sorted status,In Regions,Gate,TOF,Extinction,Green
T0,Low +,B,1,1,01011,R4,1314,1962,1362
T0,Low +,B,1,1,01011,R4,2144,3146,2191
T0,Low +,B,1,1,01011,R4,2166,2913,1214
T0,Low +,B,1,1,01011,R4,2513,3463,2333
T0,Low +,B,1,1,01011,R4,2230,2553,1088
T0,Low +,B,1,1,01011,R4,2739,2345,1465
T0,Low +,B,1,1,01011,R4,1614,2563,1948
T0,Low +,B,1,1,01011,R4,2018,2361,2744
T0,Low +,B,1,1,01011,R4,2367,3327,3220
T0,Low +,B,1,1,01011,R4,1681,2686,1629
T0,Low +,B,1,1,01011,R4,1524,2311,1041
T0,Low +,B,1,1,01011,R4,1643,1844,2703
T0,Low +,B,1,1,01011,R4,1901,1118,3854
T0,Low +,B,1,1,01011,R4,2243,3004,1544
T0,Low +,B,1,1,01011,R4,2071,2119,1756
T0,Low +,B,1,1,01011,R4,2063,2427,1273
T0,Low +,B,1,0,10011,R5,1553,1763,122
T0,Low +,B,1,6,10011,R5,1829,1772,413
T0,Low +,B,1,6,10011,R5,2292,3193,509
T0,Low +,B,1,10,10011,R5,1604,2233,214
T0,Low +,B,1,6,10111,R5,1622,1717,83.7
T0,Low +,B,1,6,10011,R5,1631,2200,208
T0,Low +,B,1,16,10111,R5,2410,3047,128
T0,Low +,B,1,6,10011,R5,2069,1890,430
T0,Low +,B,1,6,10111,R5,2390,2222,123
T0,Low +,B,1,6,10011,R5,2132,2105,486
T0,Low +,B,1,9,10011,R5,2248,2852,517
T0,Low +,B,1,6,10011,R5,2158,2607,394
T0,Low +,B,1,6,10011,R5,2204,2744,215
T0,Low +,B,1,10,10011,R5,2389,2983,488
T0,Low +,B,1,9,10011,R5,1446,1968,258
T0,Low +,B,1,6,10011,R5,1338,1454,120
T0,Low +,B,1,6,10011,R5,2135,2400,215
T0,Low +,B,1,6,10011,R5,2010,2141,472
T0,Low +,B,1,6,10011,R5,1698,1940,229
T0,Low +,B,1,13,10011,R5,2693,3233,559
T0,Low +,B,1,6,10011,R5,2231,2403,338
T0,Low +,B,1,6,10011,R5,2531,2904,591
T0,Low +,B,1,6,10011,R5,2402,2606,251
T0,Low +,B,1,6,10111,R5,2216,2621,73.8
T0,Low +,B,1,6,10011,R5,1551,2105,351
T0,Low +,B,1,6,10011,R5,2012,2533,524
T0,Low +,B,1,6,10011,R5,1309,2097,428
T0,Low +,B,1,6,10011,R5,1780,2693,365
T0,Low +,B,1,9,10111,R5,2198,2262,100
T0,Low +,B,1,6,10011,R5,1877,2495,472
T0,Low +,B,1,6,10011,R5,2325,2695,239
T0,Low +,B,1,6,10011,R5,2490,2975,347
T0,Low +,B,1,6,10011,R5,1741,2441,444
T0,Low +,B,1,6,10011,R5,2186,3501,421
T0,Low +,B,1,6,10111,R5,1641,2477,109
T0,Low +,B,1,6,10011,R5,2592,2465,428
T0,Low +,B,1,6,10011,R5,1895,2082,127
T0,Low +,B,1,6,10011,R5,2040,2720,343
T0,Low +,B,1,6,10011,R5,1904,2287,504
T0,Low +,B,1,6,10011,R5,2138,2755,477
T0,Low +,B,1,6,10011,R5,2350,2829,440
T0,Low +,B,1,6,10011,R5,2324,2656,173
T0,Low +,B,1,6,10011,R5,2071,2213,418
T0,Low +,B,1,6,10011,R5,2363,2794,340
T0,Low +,B,1,6,10011,R5,1937,2433,410
T0,Low +,B,1,6,10011,R5,2606,3003,547
T0,Low +,B,1,6,10011,R5,2236,2497,498
T0,Low +,B,1,6,10011,R5,1900,1649,395
T0,Low +,B,1,6,10011,R5,2086,2245,221
T0,Low +,B,1,6,10011,R5,2478,3205,569
T0,Low +,B,1,6,10011,R5,2110,3275,405
T0,Low +,B,1,9,10111,R5,2087,2374,121
T0,Low +,B,1,6,10011,R5,2086,2935,339
T0,Low +,B,1,6,10011,R5,2217,2491,375
T0,Low +,B,1,6,10111,R5,1931,2477,70.7
T0,Low +,B,1,6,10111,R5,2363,3198,96.3
T0,Low +,B,1,6,10011,R5,2256,2818,327
T0,Low +,B,1,6,10011,R5,2148,2560,544
T0,Low -,B,2,1,00011,R2,1862,2660,541
T0,Low -,B,2,1,00011,R2,2747,3394,826
T0,Low -,B,2,1,00011,R2,2510,2977,658
T0,Low -,B,2,1,00011,R2,2394,2812,756
T0,Low -,B,2,1,00011,R2,2201,2859,883
T0,Low -,B,2,1,00011,R2,2497,2975,893
T0,Low -,B,2,1,00011,R2,2170,2732,792
T0,Low -,B,2,1,00011,R2,1982,2212,853
T0,Low -,B,2,1,00011,R2,1784,2207,602
T0,Low -,B,2,1,00011,R2,1533,2112,800
T0,Low -,B,2,1,00011,R2,1888,2221,552
T0,Low -,B,2,1,00011,R2,2662,2775,999
T0,Low -,B,2,1,00011,R2,1850,2454,784
T0,Low -,B,2,1,00011,R2,2068,2316,806
T0,Low -,B,2,1,00011,R2,2496,3585,874
T0,Low -,B,2,1,00011,R2,2334,3443,682
T0,Low -,B,2,1,00011,R2,1827,2161,578
T0,Low -,B,2,1,00011,R2,2465,3336,717
T0,Low -,B,2,1,00011,R2,2828,3146,1040
T0,Low -,B,2,1,00011,R2,1894,2437,878
T0,Low -,B,2,1,00011,R2,1773,2450,883
T0,Low -,B,2,16,00011,R2,2368,2427,633
T0,Low -,B,2,1,00011,R2,2119,2101,756
T0,Low -,B,2,1,00011,R2,2082,2396,627
T0,Low -,B,2,1,00011,R2,2327,2579,737
T0,Low -,B,2,1,00011,R2,2025,2682,782
T0,Low -,B,2,1,00011,R2,1878,2234,740
T0,Low -,B,2,1,00011,R2,2246,2052,930
T0,Low -,B,2,1,00011,R2,2453,3625,965
T0,Low -,B,2,1,00011,R2,2530,2653,979
T0,Low -,B,2,1,00011,R2,1840,1718,585
T0,Low -,B,2,1,00011,R2,2510,2457,792
T0,Low -,B,2,1,00011,R2,2433,3216,715
T0,Low -,B,2,1,00011,R2,2151,3049,913
T0,Low -,B,2,1,00011,R2,1982,2771,706
T0,Low -,B,2,1,00011,R2,2156,2677,726
T0,Low -,B,2,1,00011,R2,2017,2663,771
T0,Low -,B,2,1,00011,R2,2441,3203,1006
T0,Low -,B,2,1,00011,R2,2365,2971,630
T0,Low -,B,2,1,00011,R2,1775,2405,679
T0,Low -,B,2,1,00111,R3,1797,1670,22.8
T0,Low -,B,2,0,01011,R4,1489,2282,2595
T0,Low -,B,2,1,01011,R4,1678,2409,2522
