Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R2,2484,3674,582,6.366470448
CM25,0,T0,R2,1967,2502,1084,6.988413182
CM25,0,T0,R4,2479,3047,1265,7.142827401
CM25,0,T0,R4,2260,2928,1486,7.303843225
CM25,0,T0,R4,2909,2837,4804,8.477204183
CM25,0,T0,R4,2690,3189,1547,7.344072851
CM25,0,T0,R4,2685,3214,3188,8.06714904
CM25,0,T0,R5,1623,2079,157,5.056245805
CM25,0,T0,R2,1996,2614,797,6.680854679
CM25,0,T0,R2,2655,3598,600,6.396929655
CM25,0,T0,R5,2551,3292,304,5.717027701
CM25,0,T0,R5,2517,3141,539,6.289715571
CM25,0,T0,R2,2330,3185,910,6.8134446
CM25,0,T0,R4,2255,2591,1344,7.203405521
CM25,0,T0,R5,2084,2557,386,5.955837369
CM25,0,T0,R2,1994,2991,998,6.905753276
CM25,0,T0,R5,2606,3444,310,5.736572297
CM25,0,T0,R4,2410,2861,2239,7.713784617
CM25,0,T0,R5,1937,3083,293,5.680172609
CM25,0,T0,R4,2530,3305,1426,7.262628601
CM25,0,T0,R4,2517,2992,3664,8.206310726
CM25,0,T0,R4,1594,2379,1486,7.303843225
CM25,0,T0,R4,2424,3188,1506,7.317212408
CM25,0,T0,R5,2595,3462,460,6.131226489
CM25,0,T0,R2,2249,3194,658,6.489204931
CM25,0,T0,R5,2330,3525,355,5.872117789
CM25,0,T0,R4,2618,3073,1436,7.26961675
CM25,0,T0,R4,2671,3188,4621,8.438366411
CM25,0,T0,R2,1732,2695,475,6.163314804
CM25,0,T0,R4,2405,2804,3680,8.210668031
CM25,0,T0,R2,2325,2742,838,6.7310181
CM25,0,T0,R5,2567,2848,291,5.673323267
CM25,0,T0,R5,2230,3106,509,6.232448017
CM25,0,T0,R4,2619,3077,3000,8.006367568
CM25,0,T0,R5,2087,2571,252,5.529429088
CM25,0,T0,R5,2621,3333,117,4.762173935
CM25,0,T0,R5,2362,2775,56.8,4.039536326
CM25,0,T0,R5,1713,2242,238,5.472270674
CM25,0,T0,R4,2003,2723,1156,7.052721049
CM25,0,T0,R4,2357,2983,1987,7.594381243
CM25,0,T0,R5,2480,3560,219,5.38907173
CM25,0,T0,R2,2554,3352,573,6.350885717
CM25,0,T0,R4,1847,2222,3054,8.024207486
CM25,0,T0,R4,3178,3553,1847,7.52131798
CM25,0,T0,R2,2102,3137,558,6.324358962
CM25,0,T0,R4,2580,3774,3259,8.089175679
CM25,0,T0,R2,2784,3346,1133,7.032624261
CM25,0,T0,R4,2713,3853,1456,7.283448229
CM25,0,T0,R2,2073,2700,779,6.658011046
CM25,0,T0,R5,2978,3226,432,6.068425588
CM25,0,T0,R2,2672,3391,919,6.823286122
CM25,0,T0,R2,2255,2675,1173,7.067319849
CM25,0,T0,R4,2353,3142,1641,7.403061091
CM25,0,T0,R5,2369,2896,212,5.356586275
CM25,0,T0,R5,2327,3631,358,5.880532986
CM25,0,T0,R5,2721,3508,346,5.846438775
CM25,0,T0,R2,2737,3156,734,6.598509029
CM25,0,T0,R2,2298,2812,587,6.37502482
CM25,0,T0,R5,1920,2558,171,5.141663557
CM25,0,T0,R4,2517,3588,3201,8.07121854
CM25,0,T0,R4,2631,3447,3535,8.170468578
CM25,0,T0,R4,2203,3084,1488,7.305188215
CM25,0,T0,R4,2684,3570,3996,8.29304914
CM25,0,T0,R2,2045,2847,549,6.308098442
CM25,0,T0,R4,1769,2243,2418,7.790696031
CM25,0,T0,R2,2181,2881,536,6.284134161
CM25,0,T0,R4,2481,3696,4453,8.401333305
CM25,0,T0,R4,2274,3501,2031,7.616283562
CM25,0,T0,R2,2144,2906,880,6.779921907
CM25,0,T0,R2,2286,2902,634,6.452048954
CM25,0,T0,R2,1559,2496,824,6.71417053
CM25,0,T0,R4,2506,2844,2503,7.825245291
CM25,0,T0,R5,2187,2814,253,5.533389489
CM25,0,T0,R5,2261,3251,314,5.749392986
CM25,0,T0,R4,2524,3281,3243,8.084254106
CM25,0,T0,R4,2586,3104,3964,8.285008895
CM25,0,T0,R4,2561,3384,3031,8.016647877
CM25,0,T0,R4,2092,3292,1135,7.03438793
CM25,0,T0,R5,1793,2619,297,5.693732139
CM25,0,T0,R4,2065,2420,1930,7.565275282
CM25,0,T0,R5,1605,2892,267,5.587248658
CM25,0,T0,R5,2223,2808,111,4.709530201
CM25,0,T0,R2,2470,3264,611,6.415096959
CM25,0,T0,R5,2647,3445,448,6.104793232
CM25,0,T0,R2,2595,3503,647,6.472346295
CM25,0,T0,R5,1914,2756,132,4.882801923
CM25,0,T0,R2,1903,2805,1033,6.940222469
CM25,0,T0,R4,2959,3392,1528,7.33171497
CM25,0,T0,R2,2242,2797,594,6.386879319
CM25,0,T0,R4,2477,2451,1970,7.585788822
CM25,0,T0,R2,2254,2999,929,6.834108739
CM25,0,T0,R4,2284,3275,1438,7.271008538
CM25,0,T0,R2,2307,2625,874,6.773080376
CM25,0,T0,R5,2182,3085,486,6.186208624
CM25,0,T0,R4,2548,2616,2314,7.746732908
CM25,0,T0,R5,2063,2880,322,5.774551546
CM25,0,T0,R5,2354,3266,383,5.948034989
CM25,0,T0,R4,2228,2596,1179,7.072421901
CM25,0,T0,R5,2277,2938,270,5.598421959
CM25,0,T0,R4,2301,3304,3278,8.094988759
CM25,0,T0,R4,1992,2916,3023,8.014004995
CM25,0,T0,R5,2223,3369,370,5.913503006
CM25,0,T0,R4,2344,3418,1324,7.188412736
CM25,0,T0,R4,2532,3023,3753,8.230310799
CM25,0,T0,R4,2116,3357,2952,7.990238186
CM25,0,T0,R4,2467,3290,3649,8.202208436
CM25,0,T0,R5,2285,3133,185,5.220355825
CM25,0,T0,R2,2697,3554,599,6.395261598
CM25,0,T0,R2,2327,2812,567,6.340359304
CM25,0,T0,R5,1696,2681,251,5.525452939
CM25,0,T0,R4,3096,2287,3199,8.07059354
CM25,0,T0,R5,1638,2531,96,4.564348191
CM25,0,T0,R2,2266,2992,813,6.70073111
CM25,0,T0,R2,2680,3611,597,6.391917113
CM25,0,T0,R5,1562,2365,127,4.844187086
CM25,0,T0,R5,2203,3028,189,5.241747015
CM25,0,T0,R4,2413,3128,1565,7.355641103
CM25,0,T0,R5,2428,2908,516,6.246106765
CM25,0,T0,R5,2448,2760,276,5.620400866
CM25,0,T0,R5,1911,2725,382,5.945420609
CM25,0,T0,R4,2273,2991,3116,8.044305407
CM25,0,T0,R4,1865,2648,2908,7.975220839
CM25,0,T0,R5,2337,2709,231,5.442417711
CM25,0,T0,R2,1851,3177,800,6.684611728
CM25,0,T0,R4,2638,3296,3991,8.291797105
CM25,0,T0,R4,2582,3591,2462,7.808729307
CM25,0,T0,R4,2415,3533,2388,7.778211475
CM25,0,T0,R5,2194,3111,295,5.686975356
CM25,0,T0,R2,2468,2996,556,6.320768294
CM25,0,T0,R5,2435,2923,171,5.141663557
CM25,0,T0,R4,1837,2595,3074,8.030734924
CM25,0,T0,R2,2556,3373,896,6.797940413
CM25,0,T0,R4,2774,3744,2485,7.818027939
CM25,0,T0,R5,2482,3223,540,6.29156914
CM25,0,T0,R4,1903,2485,1144,7.042286172
CM25,0,T0,R5,2089,2889,424,6.049733455
CM25,0,T0,R2,2118,2692,1045,6.951772164
CM25,0,T0,R5,1957,1982,78.5,4.363098625
CM25,0,T0,R2,2494,2982,747,6.616065185
CM25,0,T0,R5,2154,3052,372,5.918893854
CM25,0,T0,R4,2972,3953,1852,7.524021415
CM25,0,T0,R5,2260,2932,119,4.779123493
CM25,0,T0,R2,2444,2987,793,6.675823222
CM25,0,T0,R5,2233,2557,132,4.882801923
CM25,0,T0,R5,2942,3725,452,6.11368218
CM25,0,T0,R4,2956,3382,4524,8.417151837
CM25,0,T0,R5,2605,3732,514,6.242223265
CM25,0,T0,R2,1685,2082,680,6.522092798
CM25,0,T0,R4,2199,2513,3476,8.153637486
CM25,0,T0,R5,2425,3366,501,6.216606101
CM25,0,T0,R2,2509,3184,695,6.543911846
